1,0773425E+0	-2,7569012E-1	7,8124995E+1	-2,8665179E-1	-3,0833298E-1	-2,8776938E-1	-3,3024700E-1	7,8124995E+1	-4,1927213E-1	0,0000000E+0	0,0000000E+0
2,8336143E+0	-2,7642587E-1	7,8124995E+1	-2,8673561E-1	-3,0829573E-1	-2,8759243E-1	-3,3057297E-1	7,8124995E+1	-4,1939321E-1	0,0000000E+0	0,0000000E+0
4,5878687E+0	-2,7676115E-1	7,8124995E+1	-2,8669836E-1	-3,0823054E-1	-2,8751792E-1	-3,3087099E-1	7,8124995E+1	-4,1913244E-1	0,0000000E+0	0,0000000E+0
6,3437614E+0	-2,7658419E-1	7,8124995E+1	-2,8668905E-1	-3,0832367E-1	-2,8751792E-1	-3,3112245E-1	7,8124995E+1	-4,1894617E-1	0,0000000E+0	0,0000000E+0
8,0974207E+0	-2,7609991E-1	7,8124995E+1	-2,8656797E-1	-3,0828642E-1	-2,8752724E-1	-3,3129009E-1	7,8124995E+1	-4,1875991E-1	0,0000000E+0	0,0000000E+0
9,8518157E+0	-2,7489850E-1	7,8124995E+1	-2,8626995E-1	-3,0810947E-1	-2,8737822E-1	-3,3122489E-1	7,8124995E+1	-4,1864815E-1	0,0000000E+0	0,0000000E+0
1,1608016E+1	-2,7327800E-1	7,8124995E+1	-2,8593467E-1	-3,0810015E-1	-2,8755518E-1	-3,3120627E-1	7,8124995E+1	-4,1845257E-1	0,0000000E+0	0,0000000E+0
1,3362692E+1	-2,7097763E-1	7,8124995E+1	-2,8542245E-1	-3,0799771E-1	-2,8726647E-1	-3,3094550E-1	7,8124995E+1	-4,1838738E-1	0,0000000E+0	0,0000000E+0
1,5119071E+1	-2,6880765E-1	7,8124995E+1	-2,8462151E-1	-3,0785801E-1	-2,8723853E-1	-3,3092687E-1	7,8124995E+1	-4,1825699E-1	0,0000000E+0	0,0000000E+0
1,6874776E+1	-2,6592986E-1	7,8124995E+1	-2,8383920E-1	-3,0745754E-1	-2,8711745E-1	-3,3070335E-1	7,8124995E+1	-4,1830356E-1	0,0000000E+0	0,0000000E+0
1,8628017E+1	-2,6250260E-1	7,8124995E+1	-2,8301032E-1	-3,0754136E-1	-2,8719196E-1	-3,3072198E-1	7,8124995E+1	-4,1827562E-1	0,0000000E+0	0,0000000E+0
2,0384123E+1	-2,5979245E-1	7,8124995E+1	-2,8192067E-1	-3,0710364E-1	-2,8720127E-1	-3,3075923E-1	7,8124995E+1	-4,1825699E-1	0,0000000E+0	0,0000000E+0
2,2138457E+1	-2,5673771E-1	7,8124995E+1	-2,8086828E-1	-3,0673111E-1	-2,8711745E-1	-3,3093618E-1	7,8124995E+1	-4,1827562E-1	0,0000000E+0	0,0000000E+0
2,3893375E+1	-2,5337563E-1	7,8124995E+1	-2,7954580E-1	-3,0629339E-1	-2,8713608E-1	-3,3096412E-1	7,8124995E+1	-4,1841532E-1	0,0000000E+0	0,0000000E+0
2,5647154E+1	-2,4935232E-1	7,8124995E+1	-2,7811156E-1	-3,0575322E-1	-2,8716402E-1	-3,3107588E-1	7,8124995E+1	-4,1854570E-1	0,0000000E+0	0,0000000E+0
2,7402428E+1	-2,4531038E-1	7,8124995E+1	-2,7655626E-1	-3,0534344E-1	-2,8716402E-1	-3,3102932E-1	7,8124995E+1	-4,1854570E-1	0,0000000E+0	0,0000000E+0
2,9157463E+1	-2,4112874E-1	7,8124995E+1	-2,7474949E-1	-3,0461701E-1	-2,8724784E-1	-3,3105726E-1	7,8124995E+1	-4,1859227E-1	0,0000000E+0	0,0000000E+0
3,0913090E+1	-2,3644419E-1	7,8124995E+1	-2,7287753E-1	-3,0383469E-1	-2,8694982E-1	-3,3094550E-1	7,8124995E+1	-4,1880647E-1	0,0000000E+0	0,0000000E+0
3,2667372E+1	-2,3176895E-1	7,8124995E+1	-2,7092175E-1	-3,0305238E-1	-2,8699638E-1	-3,3101069E-1	7,8124995E+1	-4,1890892E-1	0,0000000E+0	0,0000000E+0
3,4424357E+1	-2,2750349E-1	7,8124995E+1	-2,6881696E-1	-3,0204656E-1	-2,8685668E-1	-3,3108520E-1	7,8124995E+1	-4,1897411E-1	0,0000000E+0	0,0000000E+0
3,6179840E+1	-2,2299589E-1	7,8124995E+1	-2,6660973E-1	-3,0107798E-1	-2,8671698E-1	-3,3112245E-1	7,8124995E+1	-4,1902068E-1	0,0000000E+0	0,0000000E+0
3,7933234E+1	-2,1821821E-1	7,8124995E+1	-2,6414172E-1	-2,9996971E-1	-2,8660523E-1	-3,3100138E-1	7,8124995E+1	-4,1920694E-1	0,0000000E+0	0,0000000E+0
3,9688198E+1	-2,1342189E-1	7,8124995E+1	-2,6172029E-1	-2,9875899E-1	-2,8643759E-1	-3,3088030E-1	7,8124995E+1	-4,1923488E-1	0,0000000E+0	0,0000000E+0
4,1444530E+1	-2,0805748E-1	7,8124995E+1	-2,5928953E-1	-2,9759483E-1	-2,8618613E-1	-3,3081511E-1	7,8124995E+1	-4,1939321E-1	0,0000000E+0	0,0000000E+0
4,3200449E+1	-2,0290726E-1	7,8124995E+1	-2,5660732E-1	-2,9630029E-1	-2,8604643E-1	-3,3075923E-1	7,8124995E+1	-4,1942115E-1	0,0000000E+0	0,0000000E+0
4,4956060E+1	-1,9764529E-1	7,8124995E+1	-2,5384130E-1	-2,9490331E-1	-2,8586017E-1	-3,3073129E-1	7,8124995E+1	-4,1943046E-1	0,0000000E+0	0,0000000E+0
4,6710763E+1	-1,9223430E-1	7,8124995E+1	-2,5087969E-1	-2,9340388E-1	-2,8563665E-1	-3,3072198E-1	7,8124995E+1	-4,1951428E-1	0,0000000E+0	0,0000000E+0
4,8464362E+1	-1,8678607E-1	7,8124995E+1	-2,4808572E-1	-2,9210934E-1	-2,8528275E-1	-3,3054503E-1	7,8124995E+1	-4,1956084E-1	0,0000000E+0	0,0000000E+0
5,0217793E+1	-1,8103049E-1	7,8124995E+1	-2,4505892E-1	-2,9036777E-1	-2,8501266E-1	-3,3050777E-1	7,8124995E+1	-4,1961672E-1	0,0000000E+0	0,0000000E+0
5,1973655E+1	-1,7555432E-1	7,8124995E+1	-2,4199487E-1	-2,8891491E-1	-2,8459357E-1	-3,3041464E-1	7,8124995E+1	-4,1945840E-1	0,0000000E+0	0,0000000E+0
5,3728691E+1	-1,6977080E-1	7,8124995E+1	-2,3893082E-1	-2,8693119E-1	-2,8434211E-1	-3,3026563E-1	7,8124995E+1	-4,1944909E-1	0,0000000E+0	0,0000000E+0
5,5483935E+1	-1,6376377E-1	7,8124995E+1	-2,3569913E-1	-2,8537588E-1	-2,8396958E-1	-3,3005143E-1	7,8124995E+1	-4,1933733E-1	0,0000000E+0	0,0000000E+0
5,7238637E+1	-1,5744009E-1	7,8124995E+1	-2,3219736E-1	-2,8359705E-1	-2,8340148E-1	-3,2942744E-1	7,8124995E+1	-4,1926282E-1	0,0000000E+0	0,0000000E+0
5,8993546E+1	-1,5198254E-1	7,8124995E+1	-2,2882597E-1	-2,8146433E-1	-2,8280543E-1	-3,2861719E-1	7,8124995E+1	-4,1921626E-1	0,0000000E+0	0,0000000E+0
6,0748214E+1	-1,4633872E-1	7,8124995E+1	-2,2541733E-1	-2,7954580E-1	-2,8216282E-1	-3,2843093E-1	7,8124995E+1	-4,1927213E-1	0,0000000E+0	0,0000000E+0
6,2503473E+1	-1,4055521E-1	7,8124995E+1	-2,2190624E-1	-2,7745964E-1	-2,8152020E-1	-3,2807702E-1	7,8124995E+1	-4,1912312E-1	0,0000000E+0	0,0000000E+0
6,4257846E+1	-1,3480895E-1	7,8124995E+1	-2,1837653E-1	-2,7532691E-1	-2,8106386E-1	-3,2821672E-1	7,8124995E+1	-4,1903930E-1	0,0000000E+0	0,0000000E+0
6,6011776E+1	-1,2909063E-1	7,8124995E+1	-2,1482819E-1	-2,7321281E-1	-2,8044918E-1	-3,2794664E-1	7,8124995E+1	-4,1888098E-1	0,0000000E+0	0,0000000E+0
6,7766777E+1	-1,2338162E-1	7,8124995E+1	-2,1131710E-1	-2,7103351E-1	-2,7983451E-1	-3,2775106E-1	7,8124995E+1	-4,1876922E-1	0,0000000E+0	0,0000000E+0
6,9522682E+1	-1,1747704E-1	7,8124995E+1	-2,0761044E-1	-2,6891941E-1	-2,7914533E-1	-3,2755548E-1	7,8124995E+1	-4,1853639E-1	0,0000000E+0	0,0000000E+0
7,1278869E+1	-1,1143275E-1	7,8124995E+1	-2,0397828E-1	-2,6648866E-1	-2,7853066E-1	-3,2726677E-1	7,8124995E+1	-4,1848982E-1	0,0000000E+0	0,0000000E+0
7,3033903E+1	-1,0558405E-1	7,8124995E+1	-2,0014123E-1	-2,6427211E-1	-2,7782285E-1	-3,2713639E-1	7,8124995E+1	-4,1845257E-1	0,0000000E+0	0,0000000E+0
7,4789624E+1	-9,9660835E-2	7,8124995E+1	-1,9660221E-1	-2,6194380E-1	-2,7704054E-1	-3,2662416E-1	7,8124995E+1	-4,1819180E-1	0,0000000E+0	0,0000000E+0
7,6545307E+1	-9,3672430E-2	7,8124995E+1	-1,9289554E-1	-2,5959687E-1	-2,7651900E-1	-3,2626094E-1	7,8124995E+1	-4,1814523E-1	0,0000000E+0	0,0000000E+0
7,8299481E+1	-8,7739905E-2	7,8124995E+1	-1,8916094E-1	-2,5712886E-1	-2,7569012E-1	-3,2584185E-1	7,8124995E+1	-4,1807073E-1	0,0000000E+0	0,0000000E+0
8,0054690E+1	-8,1667681E-2	7,8124995E+1	-1,8525870E-1	-2,5462361E-1	-2,7488919E-1	-3,2563696E-1	7,8124995E+1	-4,1782858E-1	0,0000000E+0	0,0000000E+0
8,1810248E+1	-7,5800349E-2	7,8124995E+1	-1,8145890E-1	-2,5215560E-1	-2,7409756E-1	-3,2505022E-1	7,8124995E+1	-4,1777271E-1	0,0000000E+0	0,0000000E+0
8,3567769E+1	-6,9690872E-2	7,8124995E+1	-1,7757529E-1	-2,4972485E-1	-2,7311967E-1	-3,2467770E-1	7,8124995E+1	-4,1766095E-1	0,0000000E+0	0,0000000E+0
